config,job,run_id,run_number,cpu_model,stage_index,label,cpu_avg_pct,energy_j,power_avg_w,duration_s
B,main,35512227398,1,"AMD EPYC 9V74 80-Core Processor",5,deploy,58.7547,143.717,5.85,24.58
A,main,35512499190,1,"AMD EPYC 7763 64-Core Processor",1,install,48.8584,93.3061,5.13,18.18
A,main,35512499190,1,"AMD EPYC 7763 64-Core Processor",2,lint,39.0603,190.328,4.63,41.15
A,main,35512499190,1,"AMD EPYC 7763 64-Core Processor",3,test,34.85,931.191,4.50,206.97
A,main,35512499190,1,"AMD EPYC 7763 64-Core Processor",4,build,55.2379,61.9375,5.50,11.26
A,main,35512499190,1,"AMD EPYC 7763 64-Core Processor",5,deploy,57.0419,148.996,5.78,25.76
A,main,35514623437,2,"AMD EPYC 7763 64-Core Processor",1,install,47.2503,92.9776,5.08,18.32
A,main,35514623437,2,"AMD EPYC 7763 64-Core Processor",2,lint,38.4194,189.976,4.60,41.28
A,main,35514623437,2,"AMD EPYC 7763 64-Core Processor",3,test,34.7425,939.815,4.50,208.85
A,main,35514623437,2,"AMD EPYC 7763 64-Core Processor",4,build,55.5732,61.889,5.53,11.20
A,main,35514623437,2,"AMD EPYC 7763 64-Core Processor",5,deploy,56.578,147.373,5.76,25.59
B,main,35514890824,2,"Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz",1,install,50.6941,64.9368,5.28,12.31
B,main,35514890824,2,"Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz",2,lint,38.8816,198.508,4.63,42.92
B,main,35514890824,2,"Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz",3,test,36.5029,1014.81,4.60,220.56
B,main,35514890824,2,"Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz",4,build,55.2059,62.0184,5.53,11.22
B,main,35514890824,2,"Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz",5,deploy,58.6478,120.66,5.87,20.54
C,main,35515160156,2,"AMD EPYC 7763 64-Core Processor",1,install,49.1424,91.3058,5.15,17.74
C,main,35515160156,2,"AMD EPYC 7763 64-Core Processor",2,test,33.4151,152.872,4.39,34.84
C,main,35515160156,2,"AMD EPYC 7763 64-Core Processor",3,build,54.857,59.6777,5.48,10.89
C,main,35515160156,2,"AMD EPYC 7763 64-Core Processor",4,deploy,56.3882,144.551,5.71,25.31
E,build,35515261881,2,"AMD EPYC 7763 64-Core Processor",1,install,53.2488,81.3335,5.38,15.11
E,build,35515261881,2,"AMD EPYC 7763 64-Core Processor",2,build,56.5572,65.213,5.58,11.69
E,build,35515261881,2,"AMD EPYC 7763 64-Core Processor",3,deploy,57.1307,154.749,5.79,26.73
E,lint,35515261881,2,"AMD EPYC 7763 64-Core Processor",1,install,48.9286,76.6733,5.19,14.77
E,lint,35515261881,2,"AMD EPYC 7763 64-Core Processor",2,lint,38.4339,197.908,4.60,42.98
E,test,35515261881,2,"AMD EPYC 9V74 80-Core Processor",1,install,60.7796,72.4511,5.79,12.51
E,test,35515261881,2,"AMD EPYC 9V74 80-Core Processor",2,test,38.1917,923.399,4.68,197.39
E,build,35515517984,3,"AMD EPYC 9V45 96-Core Processor",1,install,50.7542,43.1057,5.28,8.17
E,build,35515517984,3,"AMD EPYC 9V45 96-Core Processor",2,build,55.978,43.7277,5.59,7.82
E,build,35515517984,3,"AMD EPYC 9V45 96-Core Processor",3,deploy,48.1415,131.988,5.30,24.88
E,lint,35515517984,3,"INTEL(R) XEON(R) PLATINUM 8573C",1,install,46.2528,58.8927,5.02,11.72
E,lint,35515517984,3,"INTEL(R) XEON(R) PLATINUM 8573C",2,lint,39.8812,176.696,4.67,37.80
E,test,35515517984,3,"Intel(R) Xeon(R) 6973P-C",1,install,48.1417,54.0743,5.15,10.51
E,test,35515517984,3,"Intel(R) Xeon(R) 6973P-C",2,test,35.5235,737.935,4.53,162.74
A,main,35515725884,3,"AMD EPYC 9V74 80-Core Processor",1,install,53.6075,71.6794,5.39,13.30
A,main,35515725884,3,"AMD EPYC 9V74 80-Core Processor",2,lint,45.8014,159.503,4.97,32.09
A,main,35515725884,3,"AMD EPYC 9V74 80-Core Processor",3,test,36.5489,763.146,4.59,166.24
A,main,35515725884,3,"AMD EPYC 9V74 80-Core Processor",4,build,55.7958,46.9291,5.52,8.50
A,main,35515725884,3,"AMD EPYC 9V74 80-Core Processor",5,deploy,51.695,137.273,5.51,24.93
D,main,35515961079,2,"AMD EPYC 9V74 80-Core Processor",1,install,48.1177,73.4585,5.10,14.41
D,main,35515961079,2,"AMD EPYC 9V74 80-Core Processor",2,test,41.0091,139.44,4.76,29.30
D,main,35515961079,2,"AMD EPYC 9V74 80-Core Processor",3,build,57.2812,48.7528,5.60,8.70
D,main,35515961079,2,"AMD EPYC 9V74 80-Core Processor",4,deploy,51.4107,162.355,5.43,29.92
D,main,35516051064,3,"AMD EPYC 7763 64-Core Processor",1,install,44.1525,73.2727,4.91,14.91
D,main,35516051064,3,"AMD EPYC 7763 64-Core Processor",2,test,33.5996,157.979,4.41,35.84
D,main,35516051064,3,"AMD EPYC 7763 64-Core Processor",3,build,53.1288,60.5151,5.40,11.20
D,main,35516051064,3,"AMD EPYC 7763 64-Core Processor",4,deploy,54.7501,154.676,5.62,27.52
B,main,35516146435,3,"AMD EPYC 7763 64-Core Processor",1,install,52.8907,82.8704,5.37,15.44
B,main,35516146435,3,"AMD EPYC 7763 64-Core Processor",2,lint,39.1765,189.146,4.63,40.84
B,main,35516146435,3,"AMD EPYC 7763 64-Core Processor",3,test,35.8171,935.012,4.56,204.83
B,main,35516146435,3,"AMD EPYC 7763 64-Core Processor",4,build,55.2923,60.406,5.52,10.94
B,main,35516146435,3,"AMD EPYC 7763 64-Core Processor",5,deploy,57.1967,147.249,5.77,25.54
C,main,35516417202,3,"AMD EPYC 9V74 80-Core Processor",1,install,52.3238,70.5261,5.35,13.19
C,main,35516417202,3,"AMD EPYC 9V74 80-Core Processor",2,test,34.4581,126.899,4.44,28.55
C,main,35516417202,3,"AMD EPYC 9V74 80-Core Processor",3,build,54.7525,48.3753,5.52,8.77
C,main,35516417202,3,"AMD EPYC 9V74 80-Core Processor",4,deploy,51.6732,136.564,5.50,24.83
